deposition_method,thickness_nm,substrate_temp_C,annealing_temp_C,o2_pressure_Pa,precursor_molarity_M,grain_size_nm,carrier_concentration_cm3,urbach_energy_meV,bandgap_eV,refractive_index_550nm,extinction_coefficient_550nm,avg_transmittance_pct
RF Sputtering,155.71326932824306,219.6279030953721,700.0,0.28187621346810177,,47.9,4.4619e+18,40.0,3.34,1.897,0.00338,96.2
RF Sputtering,88.17960142480233,370.9188393515762,700.0,0.0971917115465514,,61.2,5.8399e+18,40.0,3.357,1.956,0.00194,96.0
RF Sputtering,274.55178112930474,296.46672348235523,600.0,0.18203259928084561,,42.4,1.70307e+19,43.3,3.398,1.917,0.00432,94.2
RF Sputtering,384.4722502607021,210.21737542506472,700.0,0.18035592490119154,,48.4,3.2283e+18,40.0,3.283,1.892,0.00202,93.9
RF Sputtering,256.48551392684556,211.5611322805984,300.0,0.1378186552486249,,34.3,2.68733e+19,43.4,3.355,1.902,0.00423,87.4
RF Sputtering,283.8793812304686,268.27082435676266,600.0,0.08260678212708986,,47.9,1.23098e+19,40.0,3.34,1.87,0.00414,91.5
RF Sputtering,85.36794212805563,192.91418513714174,500.0,0.10583981157119676,,44.5,1.0643e+19,43.4,3.357,1.954,0.00327,94.4
RF Sputtering,284.6960750743461,231.48980160713833,300.0,0.196446588832637,,35.0,4.99614e+19,51.0,3.404,1.869,0.00765,90.1
RF Sputtering,475.55879398421376,389.19070136162304,500.0,0.09236626022441896,,53.6,2.19456e+19,40.0,3.361,1.875,0.00377,89.4
RF Sputtering,437.3339375382471,374.65514460198904,0.0,0.11039675704708928,,23.9,3.15934e+19,48.3,3.379,1.891,0.0058,86.1
RF Sputtering,386.5850774927438,340.2570363957418,600.0,0.11268976339052783,,50.1,1.34201e+19,40.0,3.37,1.909,0.00451,91.3
RF Sputtering,125.66915018496948,72.64309791677475,500.0,0.10419370241344847,,37.9,2.59268e+19,40.6,3.401,1.978,0.00489,95.8
RF Sputtering,455.4397515197341,233.69541470190404,0.0,0.25027375023979687,,12.7,1.72008e+19,54.3,3.345,1.91,0.00424,87.8
RF Sputtering,440.00478377058846,162.4102041405566,300.0,0.16827774716925495,,36.7,2.5338e+19,46.1,3.368,1.875,0.00532,92.2
RF Sputtering,149.3363793899954,366.92330660349023,300.0,0.015327269384663049,,34.4,2.13699e+19,40.0,3.371,1.905,0.00385,91.6
